BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3937,3919,1469 WEST AVENUE,10462,1,0,1,0,0,125000,7/26/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5845,1825,"5500 FIELDSTON ROAD, 8BB",10471,0,0,0,0,1960,150000,4/19/2017
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1195,29,211 CENTRAL PARK WEST,10024,193,0,193,40350,1929,1400000,1/5/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,217,1252,250 WEST STREET,10013,1,0,1,0,1906,6500000,8/17/2017
4,SOUTH OZONE PARK,29 COMMERCIAL GARAGES                      ,4,11682,33,ROCKAWAY BOULEVARD,0,0,0,0,2035,0,1085000,4/5/2017
3,BENSONHURST,02 TWO FAMILY DWELLINGS                    ,1,5558,82,6612 DURYEA COURT,11219,2,0,2,2417,1925,0,6/12/2017
5,DONGAN HILLS-COLONY,01 ONE FAMILY DWELLINGS                    ,1,839,317,54 EMERSON COURT,10304,1,0,1,4383,1965,730000,2/23/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2235,4,"110-20 71ST ROAD, 505",11375,0,0,0,0,1956,230000,1/30/2017
4,ASTORIA,02 TWO FAMILY DWELLINGS                    ,1,835,14,23-61 31ST   STREET,11105,2,0,2,2250,1901,0,7/11/2017
5,MARINERS HARBOR,31 COMMERCIAL VACANT LAND                  ,4,1213,86,14 DE HART AVENUE,10303,0,0,0,5590,0,270000,2/2/2017
4,CORONA,01 ONE FAMILY DWELLINGS                    ,1,1895,48,53-36 96TH   STREET,11368,1,0,1,2000,1930,738000,3/9/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1580,33,"530 EAST 84TH   STREET, 2K",10028,0,0,0,0,1920,376000,5/26/2017
5,PRINCES BAY,02 TWO FAMILY DWELLINGS                    ,1,6860,71,97 VALDEMAR AVENUE,10309,2,0,2,14663,1980,0,6/13/2017
3,BUSH TERMINAL,07 RENTALS - WALKUP APARTMENTS             ,2A,821,71,217 55TH   STREET,11220,6,0,6,2496,1911,0,6/13/2017
2,BRONXDALE,02 TWO FAMILY DWELLINGS                    ,1,4514,13,2732 MATTHEWS AVENUE,10467,2,0,2,2300,1965,605000,6/20/2017
4,ASTORIA,13 CONDOS - ELEVATOR APARTMENTS            ,2,577,1039,30-44 29TH   STREET,11102,1,0,1,0,0,345000,7/14/2017
4,KEW GARDENS,17 CONDO COOPS                             ,2,3360,1005,"125-10 QUEENS BOULEVARD, 2611",11415,0,0,0,0,1960,137000,6/29/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1266,1,"79-10 34TH AVENUE, 6L",11372,0,0,0,0,1955,195000,1/27/2017
4,DOUGLASTON,04 TAX CLASS 1 CONDOS                      ,1A,8290,1012,240-25 68TH   AVENUE,11362,1,0,1,0,1950,925000,4/10/2017
5,NEW BRIGHTON-ST. GEORGE,10 COOPS - ELEVATOR APARTMENTS             ,2,10,19,"36 HAMILTON AVENUE, 4P",10301,0,0,0,0,1963,125000,4/26/2017
3,PARK SLOPE,02 TWO FAMILY DWELLINGS                    ,1,956,70,691 PRESIDENT STREET,11215,2,0,2,1686,1899,2925000,2/28/2017
4,MASPETH,02 TWO FAMILY DWELLINGS                    ,1,2726,30,58-26 60TH   PLACE,11378,2,0,2,2200,1940,0,6/16/2017
4,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,9232,29,84-40 117 STREET,11418,1,0,1,4400,1920,760000,8/16/2017
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3938,3341,2049 MC GRAW AVENUE,10462,1,0,1,0,0,0,6/25/2017
3,BUSHWICK,07 RENTALS - WALKUP APARTMENTS             ,2A,3362,28,358 IRVING AVENUE,11237,4,0,4,2800,1931,1325000,3/23/2017
3,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,1260,34,431 EASTERN PARKWAY,11216,2,0,2,1850,1899,1150000,5/3/2017
4,BAYSIDE,13 CONDOS - ELEVATOR APARTMENTS            ,2,5893,1647,2 BAY CLUB DRIVE,11360,1,0,1,0,1972,540000,2/21/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1277,1,"7712 35TH AVENUE, A51",11372,0,0,0,0,1937,499000,5/26/2017
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS                  ,1,4892,19,278 EAST 39TH STREET,11203,3,0,3,2000,1935,554000,7/20/2017
1,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1320,1457,210 EAST 47TH   STREET,10017,1,0,1,0,1957,863500,2/17/2017
3,BRIGHTON BEACH,44 CONDO PARKING                           ,4,8719,1196,102 WEST END AVENUE,11235,0,0,1,0,2016,0,1/13/2017
2,MELROSE/CONCOURSE,03 THREE FAMILY DWELLINGS                  ,1,2353,47,603 WALTON AVENUE,10451,3,0,3,1650,1901,10,4/17/2017
4,JAMAICA,10 COOPS - ELEVATOR APARTMENTS             ,2,9834,41,"175-45 88TH AVENUE, 3P",11432,0,0,0,0,1963,130000,8/24/2017
3,PARK SLOPE,09 COOPS - WALKUP APARTMENTS               ,2C,1089,36,"120 PROSPECT PARK WEST, 3",11215,0,0,0,0,1940,1100000,3/8/2017
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1024,399 EAST 8TH   STREET,10009,1,0,1,0,2014,0,7/14/2017
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,5938,7,"18-15 215TH STREET, 6A",11360,0,0,0,0,1969,340000,6/15/2017
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5151,32,137-43 MULBERRY AVENUE,11355,1,0,1,3750,1910,0,7/7/2017
3,MADISON,01 ONE FAMILY DWELLINGS                    ,1,7327,77,2041 EAST 22ND   STREET,11229,1,0,1,2000,1925,890000,4/25/2017
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS                  ,1,4918,45,1117 NEW YORK AVENUE,11203,3,0,3,1809,1920,352000,7/11/2017
3,SEAGATE,02 TWO FAMILY DWELLINGS                    ,1,7024,60,4336 MANHATTAN AVENUE,11224,2,0,2,3600,1930,0,5/5/2017
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,860,27,"35 EAST 30TH STREET, 3A",10016,0,0,0,0,1906,1450000,4/20/2017
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11606,19,109-26 126TH STREET,11420,1,0,1,2000,1920,460000,6/9/2017
4,ASTORIA,22 STORE BUILDINGS                         ,4,607,106,30-07 35TH   AVENUE,11106,0,1,1,1820,1935,0,3/1/2017
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS                    ,1,8738,58,208 AMHERST STREET,11235,1,0,1,4500,1930,1600000,1/20/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,179,1305,14 LEONARD STREET,10013,1,0,1,0,0,3375000,1/4/2017
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,4981,141,33-19 143RD STREET,11354,1,0,1,1350,1940,0,2/23/2017
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1042,1103,310 WEST 52ND   STREET,10019,1,0,1,0,2005,1650000,3/30/2017
5,TOMPKINSVILLE,44 CONDO PARKING                           ,4,579,1092,55 AUSTIN PLACE,10304,0,0,1,0,1962,0,4/11/2017
1,UPPER WEST SIDE (59-79),09 COOPS - WALKUP APARTMENTS               ,2,1145,7,"167 WEST 73RD   STREET, 4",10023,0,0,0,0,1910,409500,3/28/2017
3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3437,57,297A COOPER STREET,11237,2,0,2,1667,1901,640000,7/20/2017
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,5903,1,7123 10TH AVENUE,11228,2,1,3,2000,1905,1275000,8/1/2017
3,DYKER HEIGHTS,14 RENTALS - 4-10 UNIT                     ,2A,5751,48,6524 11TH AVENUE,11219,4,1,5,1600,1931,1900000,6/27/2017
3,PROSPECT HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,1129,1149,550 VANDERBILT AVENUE,11238,1,0,1,0,2015,845537,6/23/2017
3,GOWANUS,02 TWO FAMILY DWELLINGS                    ,1,1033,52,163A 14TH   STREET,11215,2,0,2,1783,1899,0,4/13/2017
4,FOREST HILLS,33 EDUCATIONAL FACILITIES                  ,4,2219,15,108-22 69TH AVENUE,11375,0,1,1,7500,1925,0,1/9/2017
3,KENSINGTON,10 COOPS - ELEVATOR APARTMENTS             ,2,5340,15,"192 EAST 8TH STREET, 5E",11218,0,0,0,0,1940,650000,8/24/2017
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,4069,64,137 ROMA AVENUE,10306,1,0,1,2500,1988,485000,4/17/2017
1,KIPS BAY,17 CONDO COOPS                             ,2,928,1107,"310 EAST 23RD STREET, 3H",10010,0,0,0,0,1900,472000,8/1/2017
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12024,125,119-20 145TH   STREET,11436,1,0,1,2000,1935,225000,4/3/2017
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS                    ,1,5422,15,4 STRAWBERRY LANE,10312,1,0,1,2040,1975,488500,8/11/2017
5,NEW SPRINGVILLE,04 TAX CLASS 1 CONDOS                      ,1A,2450,1034,26 WINDHAM LOOP,10314,1,0,1,0,1975,0,3/24/2017
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,7422,1042,"2461 EAST 29TH STREET, 4M",11235,0,0,0,0,1955,270000,4/24/2017
3,GRAVESEND,02 TWO FAMILY DWELLINGS                    ,1,6680,72,47 LAKE STREET,11223,2,0,2,1500,1910,760000,3/21/2017
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1381,25,"53 EAST 66TH STREET, 2A",10065,0,0,0,0,1924,3009000,4/5/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,136,1410,85 WEST BROADWAY,10007,1,0,1,0,0,2200000,1/6/2017
3,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS                    ,1,1638,82,753 MONROE STREET,11221,1,0,1,1667,1899,890000,3/23/2017
4,REGO PARK,01 ONE FAMILY DWELLINGS                    ,1,3118,49,62-26 DIETERLE CRESCENT,11374,1,0,1,5000,1938,1280000,3/6/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5909,970,"4555 HENRY HUDSON PARKWAY, 606",10471,0,0,0,0,1953,430000,5/17/2017
4,REGO PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,3100,1040,65-36 WETHEROLE STREET,11374,1,0,1,0,1941,0,4/24/2017
1,FLATIRON,13 CONDOS - ELEVATOR APARTMENTS            ,2,850,1278,280 PARK AVENUE SOUTH,10010,1,0,1,0,1986,1150000,2/2/2017
4,CORONA,13 CONDOS - ELEVATOR APARTMENTS            ,2,1955,1022,54-09 108TH   STREET,11368,1,0,1,0,0,375000,1/25/2017
2,BELMONT,07 RENTALS - WALKUP APARTMENTS             ,2,3077,50,2463 HUGHES AVENUE,10458,16,0,16,6556,2004,26500000,7/6/2017
4,ASTORIA,14 RENTALS - 4-10 UNIT                     ,2A,823,1,36-01 DITMARS BOULEVARD,11105,2,2,4,1900,1925,0,5/18/2017
4,FLORAL PARK,22 STORE BUILDINGS                         ,4,8772,1,260-21 HILLSIDE AVENUE,11004,0,2,2,2000,1937,450000,8/28/2017
3,FLATLANDS,10 COOPS - ELEVATOR APARTMENTS             ,2,7869,11,"2239 TROY AVENUE, 1B",11234,0,0,0,0,1953,5000,8/16/2017
1,CHINATOWN,43 CONDO OFFICE BUILDINGS                  ,4,204,1105,53 ELIZABETH STREET,10013,0,0,1,0,1915,0,3/7/2017
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,23,"345 EAST 69TH STREET, 16H",10021,0,0,0,0,1963,1230000,3/23/2017
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS                    ,1,4476,19,2530 MORGAN AVENUE,10469,1,0,1,3600,1905,581000,7/31/2017
4,RIDGEWOOD,03 THREE FAMILY DWELLINGS                  ,1,3501,22,59-28 MADISON STREET,11385,3,0,3,2023,1901,0,5/13/2017
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,4971,1007,135-37 37 AVENUE,11354,1,0,1,0,2004,420000,2/23/2017
1,HARLEM-CENTRAL,10 COOPS - ELEVATOR APARTMENTS             ,2,1829,33,"1878 7TH AVENUE, 43",10026,0,0,0,0,1925,427000,4/19/2017
1,MIDTOWN CBD,10 COOPS - ELEVATOR APARTMENTS             ,2,1311,65,"110 EAST 57TH STREET, 7F",10022,0,0,0,0,1957,0,3/1/2017
3,COBBLE HILL,12 CONDOS - WALKUP APARTMENTS              ,2,310,1269,138 BALTIC STREET,11201,1,0,1,0,1870,875000,6/30/2017
3,OLD MILL BASIN,02 TWO FAMILY DWELLINGS                    ,1,8511,40,1888 EAST 51ST   STREET,11234,2,0,2,2000,1960,500000,4/18/2017
4,ST. ALBANS,02 TWO FAMILY DWELLINGS                    ,1,11054,21,210-30 NASHVILLE BLVD,11411,2,0,2,3038,1920,425000,2/10/2017
3,MARINE PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,8821,10,"2270 PLUMB 1ST, 5B",11229,0,0,0,0,1953,0,7/17/2017
4,BAYSIDE,09 COOPS - WALKUP APARTMENTS               ,2,5863,60,"15-06 212TH STREET, 207",11360,0,0,0,0,1957,210000,5/10/2017
2,PELHAM PARKWAY SOUTH,02 TWO FAMILY DWELLINGS                    ,1,4327,33,2112 HONE AVENUE,10461,2,0,2,2500,1920,615000,7/6/2017
2,SOUNDVIEW,10 COOPS - ELEVATOR APARTMENTS             ,2,3627,40,"820 BOYNTON AVE, 18C",10473,0,0,0,0,1962,215000,6/27/2017
3,BOROUGH PARK,04 TAX CLASS 1 CONDOS                      ,1A,6582,1101,267 AVENUE O,11230,1,0,1,0,0,720000,4/3/2017
3,DOWNTOWN-FULTON MALL,13 CONDOS - ELEVATOR APARTMENTS            ,2,170,1128,265 STATE STREET,11201,1,0,1,0,2014,3966083,4/27/2017
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1410,5,"103 EAST 75 STREET, 6/7RE",10021,0,0,0,0,1920,2950000,3/28/2017
2,FORDHAM,29 COMMERCIAL GARAGES                      ,4,3156,36,215 EAST BURNSIDE AVENUE,10457,0,0,0,1509,0,0,4/27/2017
3,CLINTON HILL,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2019,1204,96 LEFFERTS PLACE,11238,1,0,1,0,2013,1040000,5/26/2017
3,SUNSET PARK,01 ONE FAMILY DWELLINGS                    ,1,634,28,212 18TH STREET,11215,1,0,1,1669,1910,1720000,5/22/2017
4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10495,39,88-31 201ST STREET,11423,1,0,1,2458,1925,0,7/6/2017
1,MIDTOWN WEST,17 CONDO COOPS                             ,2,1048,3003,"333 WEST 57TH STREET, 512",10019,0,0,0,0,0,999000,4/11/2017
4,BAYSIDE,02 TWO FAMILY DWELLINGS                    ,1,7446,51,56-39 217 ST,11364,2,0,2,3933,1950,0,3/3/2017
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9514,5,109-10 103 AVENUE,11419,1,0,1,2017,1930,456000,7/31/2017
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,7994,40,1058 REMSEN AVE,11236,2,0,2,2500,1930,175000,1/26/2017
3,MADISON,13 CONDOS - ELEVATOR APARTMENTS            ,2,7325,1403,2493 OCEAN AVE,11229,1,0,1,0,2015,785000,3/31/2017
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS                    ,1,717,29,54 GANSEVOORT BOULEVARD,10314,1,0,1,4800,1935,485000,3/29/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,123,1194,30 PARK PLACE,10007,1,0,1,0,2008,6771362,1/24/2017
3,OLD MILL BASIN,02 TWO FAMILY DWELLINGS                    ,1,7893,19,1769 EAST 48TH   STREET,11234,2,0,2,2500,1955,0,2/24/2017
5,BULLS HEAD,04 TAX CLASS 1 CONDOS                      ,1A,1552,1036,53 PARKVIEW LOOP,10314,1,0,1,0,1980,390000,5/26/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,123,1196,30 PARK PLACE,10007,1,0,1,0,2008,4648311,1/17/2017
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,10272,124,110-21 173RD   STREET,11433,1,0,1,2000,1945,345000,4/28/2017
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5145,68,"137-77 45 AVENUE, 7M",11367,0,0,0,0,1973,283000,8/2/2017
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1232,61,"514 WEST END AVENUE, ROOF",10024,0,0,0,0,1923,10000,5/25/2017
1,MIDTOWN WEST,43 CONDO OFFICE BUILDINGS                  ,4,1262,1811,50 WEST 47TH   STREET,10036,0,0,1,0,2009,822048,3/30/2017
1,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,573,66,43 WEST 9TH   STREET,10011,11,0,11,2414,1900,0,7/15/2017
5,NEW SPRINGVILLE,12 CONDOS - WALKUP APARTMENTS              ,2,2363,1030,17 GADSEN PLACE,10314,1,0,1,0,1974,0,6/15/2017
4,FLUSHING-NORTH,43 CONDO OFFICE BUILDINGS                  ,4,4978,1371,38-08 UNION STREET,11354,0,0,1,0,2014,2730938,7/17/2017
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9216,38,85-74 111TH STREET,11418,1,0,1,2142,1920,0,7/31/2017
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11775,89,135-37 130TH AVENUE,11420,1,0,1,3276,1940,545000,6/27/2017
2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5577,120,322 CALHOUN AVE,10465,2,0,2,5000,1940,0,8/4/2017
4,LONG ISLAND CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,414,117,41-29 24TH   STREET,11101,79,0,79,9891,2015,0,8/22/2017
5,ARROCHAR,01 ONE FAMILY DWELLINGS                    ,1,3074,59,54 WADSWORTH AVENUE,10305,1,0,1,5000,1910,0,3/3/2017
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,5538,73,45-15 196TH   STREET,11358,2,0,2,3740,1950,0,3/29/2017
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56,"200 EAST 27TH STREET, 12A",10016,0,0,0,0,1965,495000,3/22/2017
1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1445,1002,"300 EAST 71ST STREET, 14B",10021,0,0,0,0,1960,700000,2/16/2017
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1395,1255,525 PARK AVENUE,10065,1,0,1,0,0,0,6/15/2017
1,HARLEM-CENTRAL,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,0,1907,1605,241 LENOX AVENUE,0,0,0,0,0,0,1557922,5/5/2017
2,PARKCHESTER,30 WAREHOUSES                              ,4,3910,122,1541 BRONX RIVER AVENUE,10460,0,1,1,52500,1957,10000000,5/11/2017
3,PARK SLOPE,10 COOPS - ELEVATOR APARTMENTS             ,2,1063,26,"220 BERKELEY PLACE, 2E",11217,0,0,0,0,1956,430000,6/29/2017
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4007,1,179 ATKINS AVENUE,11208,2,0,2,1917,1930,401397,3/9/2017
5,TOMPKINSVILLE,31 COMMERCIAL VACANT LAND                  ,4,576,17,VICTORY BOULEVARD,0,0,0,0,2200,0,225000,5/1/2017
3,WILLIAMSBURG-EAST,27 FACTORIES                               ,4,3030,10,20 MEADOW STREET,11206,0,1,1,4450,1920,0,2/13/2017
1,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS             ,2,2179,373,"900 WEST 190TH STREET, 5B",10040,0,0,0,0,1954,810000,8/16/2017
2,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY DWELLINGS                    ,1,4191,47,1843 MAYFLOWER AVENUE,10461,2,0,2,2961,1910,405000,1/11/2017
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,53,1095,120 GREENWICH STREET,10006,1,0,1,0,1903,678000,5/16/2017
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,12165,10,110-39 UNION HALL STREET,11433,2,0,2,3663,2015,0,2/24/2017
3,FLATLANDS,22 STORE BUILDINGS                         ,4,7753,47,1626-1628 UTICA AVENUE,11234,2,2,4,4000,1950,750000,1/25/2017
3,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS                    ,1,1330,68,375 LINCOLN ROAD,11225,2,0,2,2050,1920,950000,8/3/2017
4,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,1,13698,75,259-19 CRAFT AVENUE,11422,2,0,2,5200,1960,750000,8/17/2017
5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,6050,148,19 COVENTRY LOOP,10312,1,0,1,2229,1988,475000,5/26/2017
4,HOLLIS,02 TWO FAMILY DWELLINGS                    ,1,9896,38,90-17 179TH PLACE,11432,2,0,2,2850,1925,625000,8/23/2017
3,PARK SLOPE SOUTH,12 CONDOS - WALKUP APARTMENTS              ,2,1104,1424,380 15TH STREET,11215,1,0,1,0,2004,922000,8/2/2017
1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1529,39,"210 EAST 84  STREET, 2B",10028,0,0,0,0,1910,550000,6/7/2017
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1032,1462,350 WEST 42ND STREET,10036,1,0,1,0,2004,1567500,8/23/2017
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,1,3361,117,266 EVERGREEN AVENUE,10305,1,0,1,4214,1960,0,1/28/2017
1,CHELSEA,22 STORE BUILDINGS                         ,4,717,5,459 WEST 19TH   STREET,10011,0,1,1,3800,1910,20000000,6/27/2017
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1413,1205,151 EAST 78TH   STREET,10075,1,0,1,0,2014,0,5/16/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2157,1,"67-71 YELLOWSTONE BLVD, 4F",11375,0,0,0,0,1948,319000,5/12/2017
3,PARK SLOPE,44 CONDO PARKING                           ,4,954,1049,841-845 UNION STREET,11215,0,0,1,0,1928,0,4/7/2017
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,891,23,"264 LEXINGTON AVENUE, 4B",10016,0,0,0,0,1924,787500,7/28/2017
1,LITTLE ITALY,10 COOPS - ELEVATOR APARTMENTS             ,2,495,2,"237 LAFAYETTE STREET, 9E",10012,0,0,0,0,1911,0,3/1/2017
3,BATH BEACH,04 TAX CLASS 1 CONDOS                      ,1A,6367,1014,8657 BAY 16TH STREET,11214,1,0,1,0,0,515000,6/27/2017
2,EAST TREMONT,10 COOPS - ELEVATOR APARTMENTS             ,2,3080,41,"2023 BELMONT AVE, 4C",10457,0,0,0,0,1912,0,7/20/2017
4,HOWARD BEACH,04 TAX CLASS 1 CONDOS                      ,1A,14142,1004,155-10 99TH STREET,11414,1,0,1,0,1978,0,4/11/2017
3,MARINE PARK,01 ONE FAMILY DWELLINGS                    ,1,8502,32,1923 EAST 35TH STREET,11234,1,0,1,1800,1925,605000,8/14/2017
4,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,1,13665,109,14765 WELLER LANE,11422,2,0,2,5793,1980,645000,4/6/2017
3,OCEAN PARKWAY-SOUTH,10 COOPS - ELEVATOR APARTMENTS             ,2,7089,62,"2035 EAST 7TH STREET, 1D",11223,0,0,0,0,1962,171000,5/22/2017
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1793,45,308 CLIFTON PLACE,11216,2,0,2,2000,1899,218500,2/25/2017
2,HUNTS POINT,03 THREE FAMILY DWELLINGS                  ,1,2765,249,644 BARRETTO STREET,10474,3,0,3,2500,1930,750000,6/29/2017
2,SOUNDVIEW,01 ONE FAMILY DWELLINGS                    ,1,3477,21,324 STEPHENS AVENUE,10473,1,0,1,2244,1920,95000,5/16/2017
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,11936,12,143-20 GLASSBORO AVENUE,11435,1,0,1,2338,1920,485000,2/1/2017
1,GREENWICH VILLAGE-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,577,1117,65 WEST 13TH   STREET,10011,1,0,1,0,0,4200000,4/25/2017
3,BRIGHTON BEACH,13 CONDOS - ELEVATOR APARTMENTS            ,2,8720,1584,40 OCEANA DRIVE WEST,11235,1,0,1,0,0,772000,1/24/2017
4,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,3264,47,72-29 KESSEL STREET,11375,1,0,1,2942,1925,0,6/26/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1549,18,"345 EAST 86TH STREET, 18A",10028,0,0,0,0,1971,599000,7/11/2017
3,BROOKLYN HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,235,20,"135 WILLOW STREET, 802",11201,0,0,0,0,1956,400000,4/18/2017
1,MIDTOWN CBD,17 CONDO COOPS                             ,2,1312,1302,"465 PARK AVENUE, 30A",10022,0,0,0,0,0,2150000,4/24/2017
5,GRYMES HILL,01 ONE FAMILY DWELLINGS                    ,1,618,350,475 HOWARD AVENUE,10301,1,0,1,29055,1965,0,3/16/2017
3,CONEY ISLAND,13 CONDOS - ELEVATOR APARTMENTS            ,2,7279,2193,601 SURF AVE,11224,1,0,1,0,1964,465000,7/19/2017
3,BUSHWICK,07 RENTALS - WALKUP APARTMENTS             ,2A,3430,16,226 SCHAEFER STREET,11207,6,0,6,2500,1910,0,4/10/2017
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,17,1332,50 WEST STREET,10006,1,0,1,0,2014,6400000,8/29/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,16,6131,21 SOUTH END AVENUE,10280,1,0,1,0,0,535000,1/12/2017
4,REGO PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,2082,1321,62-54 97TH   PLACE,11374,1,0,1,0,1987,368000,6/8/2017
4,JACKSON HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,1469,1011,35-38 JUNCTION BOULEVARD,11368,1,0,1,0,2006,365000,1/12/2017
4,BRIARWOOD,01 ONE FAMILY DWELLINGS                    ,1,9671,252,139-12 COOLIDGE AVENUE,11435,1,1,1,5000,1937,865000,4/5/2017
5,NEW DORP-HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,4309,92,52 DALE AVENUE,10306,2,0,2,5000,2005,10,1/14/2017
